Manufacturer,Model,Category,Subcategory,URL,Part Number,System,Accounting Item Name,Short Description,Long Description,Discontinued,Tags,Phase,Labor Hours,MSRP,Unit Cost,Unit Price,Taxable,Use Tax,Preferred Vendor,Order UOM,Order UOM Units,Do Not Order,Height,Width,Depth,Weight,Rack Mounted,Rack Units,Amps,Volts,Watts,BTU,Dispersion,Bulk Wire,Start Terminal,End Terminal,Input Terminals,Input Signals,Input Labels,Output Terminals,Output Signals,Output Labels,Custom Field 1 (Income Account),Custom Field 2 (Expense Account),Custom Field 3 (Spec Sheet - Type),Custom Field 4 (Spec Sheet - Cut Out Dimensions),Custom Field 5 (Spec Sheet - Part ID),Custom Field 6,Custom Field 7,Custom Field 8,Custom Field 9,Custom Field 10,Custom Field 11,Custom Field 12 (Spec Sheet Options),Custom Field 13,Custom Field 14,Summarize,Show In Product Details Report,Approved
ACCESS NETWORKS,A310,Networking,Wireless Access Points,https://savinc.sharepoint.com/:b:/g/ER1V66F6nOdFtSHJSkTLmxUBVOacsrbQPXSnUiRIYM07Og?e=INfoKI,ANW-A310-US00,Data & Wi-Fi System,ACCESS NETWORKS:A310,Dual Band 802.11ac Dual Stream Indoor Wireless Access Point,"Unlike any other 802.11ac wireless solution in its class, the ZoneFlex R310 combines patented adaptive antenna technology and automatic interference mitigation to deliver consistent, predictable performance at extended ranges with up to 4dB of statistical BeamFlex gain and up to 10dB of interference mitigation.",FALSE,,Finish,0.5,475,285,475,TRUE,,Access Networks,,,FALSE,1.3,5.4,5.3,0.485,FALSE,0,0.229,48,11,37.5,,FALSE,,,RJ45;DCPLUG,DATA;12VDC,POE IN;12VDC,,,,Product Revenue:Finish Phase Product Revenue,Product COGS:Finish Product COGS,1,,WAP,0,0,0,,,,,,,TRUE,TRUE,TRUE
ACCESS NETWORKS,A510,Networking,Wireless Access Points,https://savinc.sharepoint.com/:b:/g/ETg1voEn1yVBqNZ0SDoyE6ABIWpQLdmTsLLDkER9tEcIYw?e=PH5nYN,ANW-A510-US00,Data & Wi-Fi System,ACCESS NETWORKS:A510,Dual-Band 802.11ac Wave 2 2X2:2 Smart Indoor Wireless Access Point,"The Access Networks A510 delivers high-performance and reliable 802.11ac wireless networking with MU-MIMO (Multi-User Multiple-Input Multiple-Output) capability. MU-MIMO helps boost network throughput by serving multiple clients simultaneously and also benefiting non-Wave 2 clients, thus improving overall network performance.",FALSE,,Finish,0.5,800,480,800,TRUE,,Access Networks,,,FALSE,1.6,6.6,6.5,0.77,FALSE,0,0.263,48,12.6,43.07,,FALSE,,,RJ45;RJ45,DATA;DATA,LAN POE;LAN,,,,Product Revenue:Finish Phase Product Revenue,Product COGS:Finish Product COGS,1,,WAP,0,0,0,,,,,,,FALSE,TRUE,TRUE
ACCESS NETWORKS,A610,Networking,Wireless Access Points,https://savinc.sharepoint.com/:b:/g/Ef68XTxkLf9Khk-eJhH1pDkBC5iduSa44NpOujWI1dDBBQ?e=bEIade,ANW-A610-US00,Data & Wi-Fi System,ACCESS NETWORKS:A610,Dual-Band 802.11ac Wave 2 3X3:3 Smart Indoor Wireless Access Point,"The Access Networks A610 delivers high-performance and reliable 802.11ac wireless networking with MU-MIMO (Multi-User Multiple-Input Multiple-Output) capability. MU-MIMO helps boost network throughput by serving multiple clients simultaneously and also benefiting non-Wave 2 clients, thus improving overall network performance.",FALSE,,Finish,0.5,1050,630,1050,TRUE,,Access Networks,,,FALSE,2.0079,7.9134,7.6772,1.3,FALSE,0,0.392,48,18.8,64.2,,FALSE,,,RJ45;RJ45,DATA;DATA,LAN POE;LAN,,,,Product Revenue:Finish Phase Product Revenue,Product COGS:Finish Product COGS,1,,WAP,0,0,0,,,,,,,FALSE,TRUE,TRUE
ACCESS NETWORKS,B300,Networking,Wireless Access Points,https://savinc.sharepoint.com/:b:/g/EYore-EjfspEk2TrtU65rXEBxt_CE-I5w_BYXJUW66jz9Q?e=rVu17s,ANW-B300-US00,Data & Wi-Fi System,ACCESS NETWORKS:B300,"Dual Band 802.11ac 5GHz Point-to-Point, Point-to-Multi-Point Outdoor Wireless Access Pioint","The Access Networks B300 is an outdoor point-to-point and point-to-multpoint bridge that unleashes the promise of 5GHz 802.11ac, delivering unparalleled backhaul throughput of over 500Mbps which opens opportunities to new business models, bridging remote locations and providing broadband services to locations not reachable previously, in an affordable way.",FALSE,,Finish,1,1500,900,1500,TRUE,,Access Networks,,,FALSE,3.3858,5.9055,7.0866,2.1,FALSE,0,0.229,48,11,37.5,,FALSE,,,RJ45,DATA,LAN POE,,,,Product Revenue:Finish Phase Product Revenue,Product COGS:Finish Product COGS,1,,WAP,0,0,0,,,,,,,TRUE,TRUE,TRUE
ACCESS NETWORKS,C120,Networking,Wireless Controllers,https://savinc.sharepoint.com/:b:/g/ESCQ8muqOy9LoL7RMimGUdIB-ghAw9Gve3W8XrUYOYKdvw?e=zdLxg1,ANW-C120-US00,Data & Wi-Fi System,ACCESS NETWORKS:C120,"Wireless Controller, Licensed fo Up To 8 Wireless Access Points.","Access Networks wireless controller, licensed for up to 8 access points.  C120 can be upgraded to support up to 150 APs with AP license upgrades. Includes 4 years Access Networks standard support. 1U rack mounts included.",FALSE,,Finish,1,1990,995,1990,TRUE,,Access Networks,,,FALSE,1.2457,9.8425,6.2717,2.2,FALSE,1,2,12,24,81.89,,FALSE,,,RJ45;;RJ45;;DCPLUG,DATA;;SERIAL;;12VDC,1;;CONSOLE;;POWER,RJ45,DATA,2,Product Revenue:Finish Phase Product Revenue,Product COGS:Finish Product COGS,1,,WAP CTRL,0,0,0,,,,,,,FALSE,TRUE,TRUE
ACCESS NETWORKS,C120 (DO NOT ORDER),Networking,Wireless Controllers,https://savinc.sharepoint.com/:b:/g/ESCQ8muqOy9LoL7RMimGUdIB-ghAw9Gve3W8XrUYOYKdvw?e=zdLxg1,ANW-C120-US00 (DO NOT ORDER),Data & Wi-Fi System,ACCESS NETWORKS:C120 (DO NOT ORDER),"Wireless Controller, Licensed fo Up To 8 Wireless Access Points.","Access Networks wireless controller, licensed for up to 8 access points.  C120 can be upgraded to support up to 150 APs with AP license upgrades. Includes 4 years Access Networks standard support. 1U rack mounts included.",FALSE,,Finish,0.5,0,,,TRUE,,Access Networks,,,TRUE,1.2457,9.8425,6.2717,2.2,TRUE,1,2,12,24,81.89,,FALSE,,,RJ45;;RJ45;;DCPLUG,DATA;;SERIAL;;12VDC,1;;CONSOLE;;POWER,RJ45,DATA,2,Product Revenue:Finish Phase Product Revenue,Product COGS:Finish Product COGS,1,,WAP CTRL,0,0,0,,,,,,,FALSE,FALSE,TRUE
ACCESS NETWORKS,C120 SINGLE AP LICENSE UPGRADE,Network,License,,ANC-120L-US00,Data & Wi-Fi System,ACCESS NETWORKS:C120 SINGLE AP LICENSE UPGRADE,C120 Single AP License Upgrade including Access Networks Support.,C120 Single AP License Upgrade including Access Networks Support.,FALSE,,Finish,0,180,126,180,TRUE,,Access Networks,,,FALSE,0,0,0,0,FALSE,0,0,0,0,0,,FALSE,,,,,,,,,Tech Solutions Product Revenue:Finish Phase Product Revenue,Tech Solutions Product COGS:Finish Product COGS,,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
ACCESS NETWORKS,CORE2 SYSTEM QUOTE,Networking,Packages,https://my.accessca.com/wp-content/uploads/2019/02/AN_COREOneSheet_Sophos020819.pdf,CORE2 SYSTEM QUOTE,Data & Wi-Fi System,ACCESS NETWORKS:CORE2 SYSTEM QUOTE,Core2 Network System Quote #,A flat or layer-2 network core with a single IP scheme. Includes Gigabit PoE+ switch for projects with greater port requirements. Recommended for high-density small to medium projects. The included Sophos XG106 firewall supports 300Mbps multi-protocol WAN throughput. Higher throughput options available.,FALSE,,Finish,0,0,,,TRUE,,Access Networks,,,FALSE,0,0,0,0,FALSE,0,0,0,0,0,,FALSE,,,,,,,,,Product Revenue:Finish Phase Product Revenue,Product COGS:Finish Product COGS,,,,0,0,0,,,,,,,TRUE,TRUE,TRUE
ADEMCO,'1332,Security,Power Supply,,'1332,Security,ADEMCO:1332,"AC Transformer 9VAC, 15VA","The Honeywell 1332 is an AC transformer with an output voltage of 9VAC and a power rating of 15VA. The 1332 is a step down transformer that takes the 110VAC voltage from your wall outlet and turns it into an output voltage of 9VAC to power various Honeywell security products.

Read more: https://www.alarmgrid.com/products/honeywell-1332",FALSE,,Security Finish,0.08,21.01,13.13,21.01,TRUE,,ADI (unincorp of Honeywell Intl Inc),,,FALSE,0,0,0,0,FALSE,0,0,0,0,0,,FALSE,,,,,,,,,Product Revenue:Finish Phase Product Revenue:Security Finish Product Revenue,Product COGS:Finish Product COGS:Security Finish Product,1,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
ADEMCO,4100SM,Security,Module,https://savinc.sharepoint.com/:b:/g/EaTLqvoUuTNOmNr0eL660KkB15kp3CUbmWZJ0fXWGQYv9w?e=E5orP6,4100SM,Security,ADEMCO:4100SM,Serial Interface Module,Serial Interface Module,FALSE,,Security Finish,0.125,219,92.99,266.2182,TRUE,,ADI (unincorp of Honeywell Intl Inc),,,FALSE,0,0,0,0,FALSE,0,0,0,0,0,,FALSE,,,,,,,,,Tech Solutions Product Revenue:Finish Phase Product Revenue:Security Finish Product Revenue,Tech Solutions Product COGS:Finish Product COGS:Security Finish Product,,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
ADEMCO,4101SN,Security,Module,https://savinc.sharepoint.com/:b:/g/EbQB8KvOX1VKvDeN3uhC3lkBturVW_ci-QCfQH_o0Kz2DQ?e=GvUf49,4101SN,Security,ADEMCO:4101SN,Addressable Relay Module,Addressable Relay Module,FALSE,,Security Finish,0.5,72.62,48.99,78.384,TRUE,,ADI (unincorp of Honeywell Intl Inc),,,FALSE,0,0,0,0,FALSE,0,0,0,0,0,,FALSE,,,,,,,,,Tech Solutions Product Revenue:Finish Phase Product Revenue:Security Finish Product Revenue,Tech Solutions Product COGS:Finish Product COGS:Security Finish Product,,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
ADEMCO,4193SNP,Security,Module,https://savinc.sharepoint.com/:b:/g/EVWutUGsvEBKrcUQ2Bh3E34BFeoFk_v-b-QU9kN7O2er0Q?e=vWSVBN,4193SNP,Security,ADEMCO:4193SN,2-Zone V-Plex Input Expander Module,"The 4193SNP can be used to add one supervised and one unsupervised zone input, which can support a host of devices, including door/window contacts, motion detectors, glassbreak detectors, and smoke/heat detectors.",FALSE,,Security Finish,0.25,19.99,12.99,19.99,TRUE,,ADI (unincorp of Honeywell Intl Inc),,,FALSE,0,0,0,0,FALSE,0,0,0,0,0,,FALSE,,,,,,,,,Product Revenue:Finish Phase Product Revenue:Security Finish Product Revenue,Product COGS:Finish Product COGS:Security Finish Product,,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
ADEMCO,'4204,Security,Module,https://savinc.sharepoint.com/:b:/g/EcYqYzanJGVLkKL9Iv9eJzEBWM_FlmsFvzYqIFJrYkPzLw?e=3mDScL,'4204,Security,ADEMCO:4204,Intelligent Relay Board,Intelligent Relay Board,FALSE,,Security Finish,0.5,101.17,44.74,105.2706,TRUE,,ADI (unincorp of Honeywell Intl Inc),,,FALSE,4.25,6.5,1.25,0,FALSE,0,0,0,0,0,,FALSE,,,,,,,,,Tech Solutions Product Revenue:Finish Phase Product Revenue:Security Finish Product Revenue,Tech Solutions Product COGS:Finish Product COGS:Security Finish Product,,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
ADEMCO,4208SN,Security,Module,https://savinc.sharepoint.com/:b:/g/EWzivEP_TklNv0-D4U3N8agBrOdcf16rWzAMB_8yXqhw1A?e=dv6CLY,4208SN,Security,ADEMCO:4208SN,8-Zone Expander for V-Plex Polling Loop Devices,8-Zone Expander for V-Plex Polling Loop Devices,FALSE,,Security Finish,0.5,125,77.99,132.1193,TRUE,,ADI (unincorp of Honeywell Intl Inc),,,FALSE,0,0,0,0,FALSE,0,0,0,0,0,,FALSE,,,,,,,,,Tech Solutions Product Revenue:Finish Phase Product Revenue:Security Finish Product Revenue,Tech Solutions Product COGS:Finish Product COGS:Security Finish Product,,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
ADEMCO,4208U,Security,Zone Expanders,https://savinc.sharepoint.com/:b:/g/Ea9iDUvheXdGtqGn18elTkIBcgYm7Efm_qkmHzQLOPuyxw?e=3OVcET,4208U,Security,ADEMCO:4208U,Universal Eight Zone Remote Point Module,The 4208U Remote Point Module (RPM) is an eight-zone expander that allows the use of available expansion zones on ADEMCO controls that support V-Plex polling loop devices.,FALSE,,Security Finish,0.5,89.99,54.49,89.99,TRUE,,ADI (unincorp of Honeywell Intl Inc),,,FALSE,4.252,6.4173,1.2598,0,FALSE,0,0.28,12,3.36,11.46,,FALSE,,,SCREW;SCREW;SCREW;SCREW;SCREW;SCREW;SCREW;SCREW;SCREW;SCREW;SCREW;;SCREW;SCREW;SCREW;SCREW;SCREW,SECURITY;SECURITY;SECURITY;SECURITY;SECURITY;SECURITY;SECURITY;SECURITY;SECURITY;SECURITY;SECURITY;;SECURITY;SECURITY;12VDC;GND;SECURITY,TB1 - 1 (LOOP A);TB1 - 2;TB1 - 3 (LOOP B);TB1 - 4 (LOOP C);TB1 - 5;TB1 - 6 (LOOP D);TB1 - 7 (LOOP E);TB1 - 8;TB1 - 9 (LOOP F);TB1 - 10 (LOOP G);TB1 - 11 (LOOP H);;TB2 - 1 + (POLLING LOOP);TB2 - 2 - (POLLING LOOP);TB2 - 3 12V +;TB2 - 4 GROUND;TB2 - 5 NOT USED,,,,Product Revenue:Finish Phase Product Revenue:Security Finish Product Revenue,Product COGS:Finish Product COGS:Security Finish Product,,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
ADEMCO,'4219,Security,Zone Expanders,https://savinc.sharepoint.com/:b:/g/EW74ywa83sZGnDLnD-sZVeoBL2PwYCHyka3BJInOYDTTTg?e=MfJJpn,'4219,Security,ADEMCO:4219,8-Zone Expander,8-Zone Expander,FALSE,,Security Finish,0.5,112.59,72.99,116.784,TRUE,,ADI (unincorp of Honeywell Intl Inc),,,FALSE,0,0,0,0,FALSE,0,0,0,0,0,,FALSE,,,,,,,,,Tech Solutions Product Revenue:Finish Phase Product Revenue:Security Finish Product Revenue,Tech Solutions Product COGS:Finish Product COGS:Security Finish Produc,,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
ADEMCO,4232CBM,Security,Module,https://savinc.sharepoint.com/:b:/g/EbZ7pmJ0GBtOu4Ik2K39e6MBm_-yF9TwleTd_pJQvLWzEQ?e=wqyxF2,4232CBM,Security,ADEMCO:4232CBM,Connected building module,Honeywell’s 4232CBM Connected Building Module is designed to support VISTA security panels with a variety of Honeywell and third-party hardware and software products. This module is intended for applications such as home or building automation. It enables communication between products by providing high-speed RS232 and RS422 serial interfaces for connection to external systems and a standard four-wire ECP interface for connection to the security control panel.,FALSE,,Security Finish,0.5,93.99,93.99,176.7061,TRUE,,ADI (unincorp of Honeywell Intl Inc),,,FALSE,0,0,0,0,FALSE,0,0,0,0,0,,FALSE,,,4 WIRE,BUS,ECP CONNECTION,TERM-BLK;TERM-BLK,CTRL;CTRL,RS232;RS422,Product Revenue:Finish Phase Product Revenue:Security Finish Product Revenue,Product COGS:Finish Product COGS:Security Finish Product,,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
ADEMCO,470PB,Security,Water Sensors,,470PB,Environmental Monitoring,ADEMCO:470PB,"Remote Water Sensor, Probe Style","The Honeywell 470PB is a remote water probe for the 5821 wireless temperature sensor and water sensor. When used in conjunction with the 5821, the 470PB water probe can alert you to flooding in your home or business",FALSE,,Security Finish,0.25,18.4,14.99,23.984,TRUE,,ADI (unincorp of Honeywell Intl Inc),,,FALSE,1,2,0.5,0.1875,FALSE,0,0,0,0,0,,FALSE,,,,,,2 WIRE,SENSOR,WATER SENSOR,Tech Solutions Product Revenue:Finish Phase Product Revenue:Security Finish Product Revenue,Tech Solutions Product COGS:Finish Product COGS:Security Finish Product,,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
ADEMCO,5800CO,Security,CO Detector,https://savinc.sharepoint.com/:b:/g/ERa55I_6EKJIsC-hhJgytrgBPPRWU20646KPvVd1UzAVkQ?e=S7gPdN,5800CO,Security,ADEMCO:5800CO,Carbon Monoxide Detector with Built-In Wireless Transmitter,Carbon Monoxide Detector with Built-In Wireless Transmitter,FALSE,,Security Finish,1,124.78,81.99,131.184,TRUE,,ADI (unincorp of Honeywell Intl Inc),,,FALSE,5.3,5.3,2.3,0.4375,FALSE,0,0,0,0,0,,FALSE,,,,,,,,,Tech Solutions Product Revenue:Finish Phase Product Revenue:Security Finish Product Revenue,Tech Solutions Product COGS:Finish Product COGS:Security Finish Produc,,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
ADEMCO,5800COMBO,Security,Wireless Sensor,https://savinc.sharepoint.com/:b:/g/EX10Tjso5xpIg0lN-47sKvEBnl8hG8kuooPovEPiQJpg7Q?e=GZjT8c,5800COMBO,Security,ADEMCO:5800COMBO,Wireless Smoke/CO Detector.,"Honeywell's 5800COMBO is the industry's first professionally monitored, wireless, combination Smoke and Carbon Monoxide (CO) detector designed to help protect people and property. Using four sensing elements, the 5800COMBO provides true multi-threat detection and reacts fast to real danger—while helping to reduce false alarms. A photo-electric chamber senses airborne smoke particulates while an electro-chemical sensor monitors the CO bi-product produced by slow smoldering fires.",FALSE,,Security Finish,0.5,195.5,117.99,200.595,TRUE,,ADI (unincorp of Honeywell Intl Inc),,,FALSE,6.3,6.3,1.65,0.8938,FALSE,0,0,0,0,0,,FALSE,,,,,,,,,Tech Solutions Product Revenue:Finish Phase Product Revenue:Security Finish Product Revenue,Tech Solutions Product COGS:Finish Product COGS:Security Finish Product,,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
ADEMCO,5800FLOOD,Security,Water Sensors,https://savinc.sharepoint.com/:b:/g/Ef-zYHT7EDlDouHUaJ8-HAIBo0ni65QnbCEzHu0YINxHAw?e=ts5pqP,5800FLOOD,Environmental Monitoring,ADEMCO:5800FLOOD,Wireless Flood and Temperature Sensor,"Ideally suited for applications including bathrooms, laundry rooms, furnace rooms, basements and garages, the 5800FLOOD helps protect against temperature fluctuations and flood conditions, reacting within 22 seconds when water is present. The versatile device can be configured to operate as a standalone temperature sensor, a flood detector or a combination temperature/flood detector. Fully compatible with Honeywell Total Connect® Remote Services, it can send users alerts when detecting floods or extreme temperatures so they can take action to minimize and avert damages.",FALSE,,Security Finish,0.25,43.99,25.99,43.99,TRUE,,ADI (unincorp of Honeywell Intl Inc),,,FALSE,3.1,1.6,2,0,FALSE,0,0,0,0,0,,FALSE,,,,,,,,,Product Revenue:Finish Phase Product Revenue:Security Finish Product Revenue,Product COGS:Finish Product COGS:Security Finish Product,,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
ADEMCO,5800MICRA,Security,Sensors,https://savinc.sharepoint.com/:b:/g/EYMslSSNDnZEkzTIVHOYUiEBqk-qrPYF4983JevGck9jaw?e=ubL3yp,5800MICRA,Security,ADEMCO:5800MICRA,Micro Wireless Recessed Transmitter,Micro Wireless Recessed Transmitter,FALSE,,Security Finish,0.5,65.42,35.51,70.9349,TRUE,,ADI (unincorp of Honeywell Intl Inc),,,FALSE,0.75,0.75,0.5,0,FALSE,0,0,0,0,0,,FALSE,,,,,,,,,Tech Solutions Product Revenue:Finish Phase Product Revenue:Security Finish Product Revenue,Tech Solutions Product COGS:Finish Product COGS:Security Finish Product,,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
ADEMCO,5800MINI,Security,Sensors,http://library.ademconet.com/MWT/fs2/5800MINI/5800MINI-Data-Sheet.PDF,5800MINI,Security,ADEMCO:5800MINI,Mini Wireless Transmitter,"The 5800MINI provides all of the advantages of Honeywell's field-proven, quick-install 5800 Series wireless devices, with the addition of signal transmission and low-battery LED indicators. It virtually disappears when installed and blends with any décor, making it ideal for applications where aesthetics are critical such as ornate doors, casements and double-hung windows. The 5800MINI provides a single zone of protection and installs easily on doors or windows with the included double-sided adhesive tape.",FALSE,,Security Finish,0.25,41.99,28.99,41.99,TRUE,,ADI (unincorp of Honeywell Intl Inc),,,FALSE,0.25,2.2,1,0,FALSE,0,0,0,0,0,,FALSE,,,,,,,,,Tech Solutions Product Revenue:Finish Phase Product Revenue:Security Finish Product Revenue,Tech Solutions Product COGS:Finish Product COGS:Security Finish Product,,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
